id,username,created_at,lng,lat,text
1516882976143028228,WETHEKINGDOM888,Wed Apr 20 20:54:18 +0000 2022,-79.861034,35.1704985,@Dave_Rice_ @GlendaHollings @ChrisAngel114 @ilPapiTrumpo @monsters_a_gogo @AGoodDa95954430 @CommodusJTrump… https://t.co/PNLwEsATFv
1516882977527062534,mixeddd_slayy,Wed Apr 20 20:54:18 +0000 2022,-95.99017549999999,30.083158,I’m so stiff on Niggas bro if you getting the soft side of me be grateful on my uncle 😭
1516882977640394753,YoungVisionry,Wed Apr 20 20:54:18 +0000 2022,-80.8467855,35.209058999999996,All money in
1516882977975783424,SashaNicolee25,Wed Apr 20 20:54:18 +0000 2022,-104.949845,39.9054745,@MrsSales_GCV I’m glad others see it too!!!!
1516882977787064320,EvilMarkOG,Wed Apr 20 20:54:18 +0000 2022,-104.789327,38.8885185,@geminiherself Yeah…I’m definitely gonna have to try and make it this year!
1516882978047246339,Mariain17519327,Wed Apr 20 20:54:18 +0000 2022,-98.5406515,29.417501,It's that kinda day😔https://t.co/cbvuf6vbv3
1516882978177044480,ladybearcat_,Wed Apr 20 20:54:18 +0000 2022,-118.167272,33.804261499999996,@profile121314 Yep! I’m excited to see who’s playing Pre Fest as well
1516882979473149952,teragramus,Wed Apr 20 20:54:19 +0000 2022,-122.0814425,37.396853,@DrJBhattacharya or disband county 'public' 'health'
1516882979292782593,CloudyDayzAhead,Wed Apr 20 20:54:19 +0000 2022,-118.4119065,34.0207895,@geminidoll69 Hiiiiii sexy https://t.co/4TAZnOGAqb
1516882981490626560,CreativasGroup,Wed Apr 20 20:54:19 +0000 2022,-80.21148009,26.05230418,The BIG SMOKE meets WhiskeyFest by @cigaraficionado is coming to the @semhardrockhollywood ! Use promo code CRG20 f… https://t.co/T1QZTpyCQ5
1516882981922787328,ChaseForLiberty,Wed Apr 20 20:54:19 +0000 2022,-83.1738665,32.6782075,Quit talking and get it done!If I'm sent to DC you're getting pressure from me until you deliver
1516882982044258304,JuneJJustice84,Wed Apr 20 20:54:19 +0000 2022,-112.75212350000001,33.964237999999995,@WholeFoods We desperately need a Whole Foods in Surprise AZ. Market research will support this.  We would come f… https://t.co/x6h1dJlnEA
1516882983701008384,ParaguayBeauty,Wed Apr 20 20:54:20 +0000 2022,-117.434547,47.667438,"All she could say was I'm sorry. And, ""no wonder he doesn't understand why you kids as adults want nothing to do wi… https://t.co/Y7litzoUtb"
1516882983994773510,CampbellSports,Wed Apr 20 20:54:20 +0000 2022,-85.40414150000001,38.7662295,"@bigcat4453 @worx_jbear Actually, he didn't do it. Somebody named David Robinson won it the year before he did. Ral… https://t.co/EQhryVDSi9"
1516882984741314566,GenevieveSpeak,Wed Apr 20 20:54:20 +0000 2022,-76.510792,38.969966,Hey @RepMTG This you? 👇🏻👇🏻👇🏻
1516882985257218049,W_BaggTalk,Wed Apr 20 20:54:20 +0000 2022,-96.69093699999999,32.9644845,@HoodHusky My guy—they know what’s going on. Appreciate you! 💰🗣
1516882985655717889,DavidFreed6,Wed Apr 20 20:54:20 +0000 2022,-97.32351750000001,30.1131965,@SmashOrPass_69 VERY NICE
